## 【110 學年度第 1 學期版本】
110.11.2 110 學年度第 1 學期學分學程會議通過
110.12.28 第 170 次教務會議通過

### 核心課程

| 課程屬性 | 學程課程名稱 | 採認課程名稱 | 開課系所 | 學分數 | 備註 |
| 元件開發類 | 半導體元件特殊應用 | 醫用電子 | 電機碩 | 3 | — |
| 元件開發類 | 半導體元件特殊應用 | 半導體光電元件 | 光電碩 | 3 | — |
| 元件開發類 | 半導體元件特殊應用 | 進階半導體物理與元件 | 光電碩 | 3 | — |
| 元件開發類 | 半導體元件特殊應用 | 化合物半導體概論 | 電機系 | 3 | — |
| 元件開發類 | 微機電系統 | 微機電系統概論 | 機電系 | 3 | — |
| 元件開發類 | 微機電系統 | 奈微系統工程原理 | 機電系 | 3 | — |
| 元件開發類 | 微機電系統 | 微機電系統設計 | 機電碩 | 3 | — |
| 元件開發類 | 微機電系統 | 微機電系統 | 電機碩 | 3 | — |
| 製程整合類 | 三維積體電路的整合技術與設計 | 移動裝置之三維積體電路的整合技術與設計 | 電信碩程 | 3 | — |
| 製程整合類 | 三維積體電路的整合技術與設計 | 移動裝置之三維積體電路的整合技術與設計 | 通訊碩 | 3 | — |
| 材料分析類 | 電子顯微鏡 | 電子顯微鏡 | 材光碩 | 3 | — |
| 材料分析類 | 電子顯微鏡 | 生物掃描式電子顯微鏡 | 生科碩 | 3 | — |
| 材料分析類 | 材料科學 | 奈米材料 | 電機碩 | 3 | — |
| 材料分析類 | 材料科學 | 材料科學(一) | 電機碩 | 3 | — |
| 材料分析類 | 材料科學 | 低維度電子材料 | 電機碩 | 3 | — |
| 材料分析類 | 材料科學 | 低維度半導體科學 | 材光碩 | 3 | — |

> 總學分數：至少 45 學分

**備註：**
1. 每一課程科目僅採計一門課程學分

**其他補充說明：**
※【整合學程】課程規劃至少 45 學分。
※【整合學程】學生所修習之學程課程中，至少應有 6 學分不屬於學生本系所、雙主修及輔系之課程。
