## 【113 學年度第 1 學期版本】
113.11.12 113 學年度第 1 學期學分學程會議通過
113.12.12 第 182 次教務會議通過

### 核心課程

| 開課單位 | 課程名稱 | 學分數 | 備註 |
| 零組件所 | 高分子材料 | 3 | — |
| 光電所 | 電漿製程 | 3 | — |
| 電機系 | 電磁學(一) | 3 | — |
| 材光系 | 電磁學(一) | 3 | — |
| 物理系 | 電磁學 | 3 | — |
| 物理系 | 近代物理 | 3 | — |
| 材光系 | 近代物理 | 3 | — |
| 光電系 | 近代物理 | 3 | — |
| 物理所 | 量子力學 | 3 | — |
| 光電系 | 量子力學導論 | 3 | — |
| 材光系 | 量子物理 | 3 | — |
| 物理系 | 量子物理(一) | 3 | — |
| 物理系 | 量子物理(二) | 3 | — |
| 化學系 | 物理化學(一) | 3 | — |
| 電機系 | 微電子技術 | 3 | — |
| 電機系 | VLSI設計導論 | 3 | — |
| 電機所 | 數位通訊電路設計 | 3 | — |
| 電機系 | 音頻電路設計 | 3 | — |
| 材光系 | 材料物理性質 | 3 | — |
| 電機所 | 奈米材料 | 3 | — |
| 機電所 | 微奈米材料 | 3 | — |
| 電機系 | 電子材料工程 | 3 | — |
| 零組件所 | 電子材料 | 3 | — |
| 機電系 | 機電材料 | 3 | — |
| 零組件所 | 半導體材料 | 3 | — |
| 材光所 | 有機半導體材料 | 3 | — |
| 封測所 | 有機半導體材料與元件 | 3 | — |
| 電機所 | 低維度電子材料 | 3 | — |
| 材光所 | 低維度半導體科學 | 3 | — |
| 材光系 | 工程數學(二) | 3 | — |
| 機電系 | 工程數學(二) | 3 | — |
| 物理系 | 應用數學(二) | 3 | — |
| 電機系 | 線性代數 | 3 | — |
| 化學所 | 電化學 | 3 | — |
| 材光所 | 分析電化學 | 3 | — |
| 電機所 | 半導體薄膜技術 | 3 | — |
| 電機所 | 高等矽覆絕緣技術 | 3 | — |
| 電機所 | SOI積體電路工程 | 3 | — |
| 零組件所 | 薄膜工程與檢測技術 | 3 | — |
| 製造所 | 半導體薄膜工程 | 3 | — |
| 材光所 | 薄膜製程技術 | 3 | — |
| 機電所 | 薄膜製程技術 | 3 | — |
| 物理系 | 光學 | 3 | — |
| 材光系 | 光學(一) | 3 | — |
| 材光系 | 光學(二) | 3 | — |
| 光電系 | 幾何光學 | 3 | — |
| 光電所 | 物理光學 | 3 | — |
| 光電系 | 物理光學 | 3 | — |
| 光電所 | 繞射光學 | 3 | — |
| 材光所 | 傅氏光學 | 3 | — |
| 材光所 | 波動光學 | 3 | — |
| 光電所 | 近代光學 | 3 | — |
| 光電系 | 光子學 | 3 | — |
| 化學系 | 光學顯微術導論 | 3 | — |
| 封測所 | 應用力學與材料力學 | 3 | — |
| 機電所 | 半導體微影設備系統概論 | 3 | — |
| 製造所 | 先進微影科技理論與實務 | 3 | — |
| 機電系 | 電子封裝簡介 | 3 | — |
| 封測所 | 電子封裝結構設計與製程技術 | 3 | — |
| 封測所 | 雷射微加工於電子封裝之應用 | 3 | — |
| 封測所 | 高階電子封裝結構設計與製程技術 | 3 | — |

> 核心課程(必選修)學分數： 18 學分
> 總學分數：至少 33 學分

**備註：**
1. 每一學程科目僅採計一門課程學分。
2. 選修11學程科目應選3門課程。
