## 【110 學年度第 1 學期版本】
110.11.2 110 學年度第 1 學期學分學程會議通過 110.12.28 第 170 次教務會議通過

### 核心課程

| 課程屬性 | 學程課程名稱 | 採認課程名稱 | 開課系所 | 學分數 | 備註 |
| 關鍵學能 | 電子學一 | 電子學（三） | 電機系 | 3 | — |
| 關鍵學能 | 電子學一 | 電力電子學 | 電機系 | 3 | — |
| 關鍵學能 | 電子學一 | 光電子學(英) | 光電碩 | 3 | — |
| 關鍵學能 | 電路學 | 電路學(一) | 跨院選修(工) | 3 | — |
| 關鍵學能 | 電路學 | 電路學(二) | 電機系 | 3 | — |
| 關鍵學能 | 電路學 | 電路學(英) | 電機系 | 3 | — |
| 關鍵學能 | 電路學 | 電路學(英) | 機電系 | 3 | — |
| 關鍵學能 | 材料物理性質 | 材料物理性質 | 材光系 | 3 | — |
| 先進製程技術基礎學能 | 工程數學二 | 微分方程（二） | 應數系 | 3 | — |
| 先進製程技術基礎學能 | 工程數學二 | 數值常微分方程 | 應數碩 | 3 | — |
| 先進製程技術基礎學能 | 工程數學二 | 偏微分方程(英) | 應數碩 | 3 | — |
| 先進製程技術基礎學能 | 工程數學二 | 高等應用數學 | 海工碩 | 3 | — |
| 先進製程技術基礎學能 | 工程數學二 | 應用數學特論 | 應數碩 | 3 | — |
| 先進製程技術基礎學能 | 工程數學二 | 應用數學（二） | 物理系 | 3 | — |
| 先進製程技術基礎學能 | 工程數學二 | 應用數學（三） | 物理系 | 3 | — |
| 先進製程技術基礎學能 | 工程數學二 | 工程數學（二）(英) | 光電系 | 3 | — |
| 先進製程技術基礎學能 | 工程數學二 | 工程數學（二） | 材光系 | 3 | — |
| 先進製程技術基礎學能 | 工程數學二 | 高等通訊工程數學(英) | 電信碩程 | 3 | — |
| 先進製程技術基礎學能 | 流體力學 | 流體力學 | 機電系 | 3 | — |
| 先進製程技術基礎學能 | 流體力學 | 流體力學（一） | 海科系 | 3 | — |
| 先進製程技術基礎學能 | 流體力學 | 計算流體力學及熱傳學(英) | 機電碩 | 3 | — |
| 先進製程技術基礎學能 | 流體力學 | 高等流體力學 | 海工碩 | 3 | — |
| 先進製程技術基礎學能 | 流體力學 | 應用流體力學 | 海工碩 | 3 | — |
| 先進製程技術基礎學能 | 流體力學 | 海洋流體力學(英) | 海工碩 | 3 | — |
| 先進製程技術基礎學能 | 材料光學 | 幾何光學 | 光電系 | 3 | — |
| 先進製程技術基礎學能 | 材料光學 | 物理光學 | 光電碩 | 3 | — |
| 先進製程技術基礎學能 | 材料光學 | 光子學 | 光電系 | 3 | — |
| 先進製程技術基礎學能 | 材料光學 | 光電科技與工程倫理 | 光電系 | 3 | — |
| 先進製程技術基礎學能 | 材料光學 | 幾何光學 | 光電系 | 3 | — |
| 先進製程技術基礎學能 | 材料光學 | 光學(一) | 材光系 | 3 | — |
| 先進製程技術基礎學能 | 材料光學 | 光學(二) | 材光系 | 3 | — |
| 先進製程技術進階學能 | 材料光學 | 光電科技概論 | 材光系 | 3 | — |
| 先進製程技術進階學能 | 材料光學 | 光學顯微術導論 | 化學系 | 3 | — |
| 先進製程技術進階學能 | 材料光學 | 光學 | 物理系 | 3 | — |
| 先進製程技術進階學能 | 材料光學 | 物理光學實驗 | 光電系 | 3 | — |
| 先進製程技術進階學能 | 材料光學 | 量子光學專題（一） | 物理碩 | 3 | — |
| 先進製程技術進階學能 | 材料光學 | 近代光學 | 光電碩 | 3 | — |
| 先進製程技術進階學能 | 材料光學 | 波動光學(英) | 材光碩 | 3 | — |
| 先進製程技術進階學能 | 材料力學 | 材料力學 | 機電系 | 3 | — |
| 先進製程技術進階學能 | 材料力學 | 材料力學 | 海工系 | 3 | — |
| 先進製程技術進階學能 | 半導體材料 | 低維度電子材料 | 電機碩 | 3 | — |
| 先進製程技術進階學能 | 半導體材料 | 有機半導體材料(英) | 材光碩 | 3 | — |
| 先進製程技術進階學能 | 薄膜技術應用 | 半導體薄膜技術 | 電機碩 | 3 | — |
| 先進製程技術進階學能 | 薄膜技術應用 | 薄膜工程專題 | 電機碩 | 3 | — |
| 先進製程技術進階學能 | 薄膜技術應用 | 薄膜物理議題研討（一）(英) | 物理博 | 3 | — |
| 先進製程技術進階學能 | 無機化學 | 無機化學（一） | 化學系 | 3 | — |
| 先進製程技術進階學能 | 無機化學 | 無機化學（二） | 校際(學士班) | 3 | — |
| 先進製程技術進階學能 | 電子封裝技術 | 系統級封裝設計實務 | 電機系 | 3 | — |
| 先進製程技術進階學能 | 電化學原理 | 電化學(英) | 化學碩 | 3 | — |
| 先進製程技術進階學能 | 電化學原理 | 分析電化學 | 材光碩 | 3 | — |

> 總學分數：至少 45 學分

**備註：**
1. 每一課程科目僅採計一門課程學分
