## 【110 學年度第 1 學期版本】
110.11.2 110 學年度第 1 學期學分學程會議通過
110.12.28 第 170 次教務會議通過

### 核心課程

| 開課單位 | 課程名稱 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- |
| 公事碩 | 全球環境變遷 | 2 | — |
| 公事碩 | 社區營造與地區重建 | 2 | — |
| 公事碩 | 永續發展與綠色管理 | 3 | — |
| 公事碩 | 永續管理概論 | 2 | — |
| 公事碩 | 地區經營管理 | 2 | — |
| 公事碩 | 城鄉發展與環境變遷 | 2 | — |
| 公事碩 | 公共事務專題研討 | 2 | — |
| 公事碩 | 公共事務專題研究[主題：國際地方創生實務見學] | 2 | — |
| 公事碩 | 新興公共議題研討[主題：地方創生與區域治理] | 2 | — |
| 公事碩 | 公共事務研討 | 2 | 新增 |
| 公事碩 | 新興公共議題研討 | 2 | 新增 |
| 公事碩 | 公共事務專題研究(一) | 2 | 新增 |
| 公事碩 | 新興公共議題(一) | 2 | 新增 |
| 公事碩 | 企業社會責任報告寫作 | 2 | 新增 |
| 公事碩 | 生命週期分析與寫作報告 | 2 | 新增 |
| 企企管碩 | 創業管理 | 2 | 新增 |
| 應用性課程 | 生活中的設計思考 | 2 | 新增 |

> 核心課程〈專業模組課程〉學分數： 9 學分

### 選修課程

| 開課單位 | 課程名稱 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- |
| 公事碩 | 污染防治與環境管理 | 2 | — |
| 公事碩 | 永續都市環境行為及心理學 | 2 | — |
| 公事碩 | 環境變遷與生態保育 | 3 | — |
| 公事碩 | 區域發展與政策 | 3 | — |
| 公事碩 | 國際非營利及社區組織交流 | 2 | — |
| 公事碩 | 新興公共議題(一)[主題：企業永續趨勢與作法] | 2 | — |
| 公事碩 | 媒體與公共事務 | 2 | 新增 |
| 公事碩 | 非營利組織管理研討 | 2 | 新增 |
| 公事所 | 綠色採購與綠色會計 | 2 | 新增 |
| 財管系 | 社會企業商業模式發展與實作 | 3 | 新增 |
| 中文系 | 地方文化典藏與報導應用 | 3 | 新增 |
| 西灣學院(博雅向度三) | 日本文化概論 | 3 | 新增 |
| 西灣學院(跨院選修-通識) | 創業講堂(一) | 3 | 新增 |
| 西灣學院 | 環境科學 | 2 | 新增 |
| 西灣學院 | 地方創生議題探討 | 3 | — |
| 西灣學院 | 都市農業與永續發展 | 3 | — |
| 西灣學院 | 氣候變遷與永續農業發展 | 3 | — |
| 西灣學院 | 創意城市與社區議題探究 | 3 | — |
| 西灣學院 | 全球與在地永續發展議題探討 | 3 | — |
| 社會系 | 高齡服務設計 | 3 | 新增 |
| 社會系 | 社區文創設計 | 3 | — |
| 社會系 | 農業與社會 | 3 | — |
| 社科院 | 創業與鄉村發展 | 2 | — |
| 社科院 | 創業與區域發展 | 3 | — |
| 劇藝碩 | 文本與空間敘事 | 3 | 新增 |
| 劇藝碩 | 文化資產保存與再生 | 3 | 新增 |
| 藝管所 | 節慶活動策畫與經營 | 3 | 新增 |
| 行銷碩 | 行銷傳播策略 | 3 | — |
| 行銷碩 | 社群媒體行銷 | 3 | — |
| 海工系 | 基礎環境科學 | 2 | 新增 |

> 總學分數：至少 15 學分

**備註：**
1. 【整合學程】課程規劃至少 15 學分。
2. 【整合學程】學生所修習之學程課程中，至少應有 6 學分不屬於學生本系所、雙主修及輔系之課程。
3. 修習學程適用之課程規劃表請依核准修習學年期版本為主。
