## 【113 學年度第 1 學期版本】
113.11.12 113 學年度第 1 學期學分學程會議通過
113.12.12 第 182 次教務會議通過

### 核心課程

| 開課單位 | 課程名稱 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- |
| 跨院選修(工)、跨院選修(理)、應數系、電機系、資工系 | 線性代數 | 3 | 得以「線性代數（一）/線性代數（二）」等課程辦理抵免 |
| 跨院選修(工)、應數系、電機系、資工系、海工系 | 機率論 | 3 | 得以「機率論（一）/機率論（二）/機率與統計/機率模式與應用/機率學」等課程辦理抵免 |
| 跨院選修(醫)、跨院選修(社)、跨院選修(管)、應數系、電機系、生科系、後醫學系、海工系、海資系、海科系、企管系、資管系、財管系、政經系、社會系 | 統計學 | 3 | 得以「統計學（一）/統計學（二）/統計學/ 高等統計學/」等課程辦理抵免 |
| 跨院選修(醫)、跨院選修(社)、跨院選修(管)、應數系、電機系、生科系、後醫學系、海工系、海資系、海科系、企管系、資管系、財管系、政經系、社會系 | 應用統計學 | 3 | 得以「生物統計學/應用統計學（一）/社會統計（一）/社會統計（二）/生物統計與資訊/統計資料分析」等課程辦理抵免 |
| 管理學院、社科院、跨院選修(管)、跨院選修(社)、企管系、資管系、財管系、政經系、國際學士學程 | 財務管理 | 3 | 得以「財務管理/財務管理（一）/財務管理（二）/財務管理概論/財務管理理論」等課程辦理抵免 |
| 管理學院、社科院、跨院選修(管)、跨院選修(社)、企管系、資管系、財管系、政經系、國際學士學程 | 經濟學 | 3 | 得以「經濟學概論/經濟學/經濟學（一）/經濟學（二）/經濟學原理（一）/個體經濟學/總體經濟學/財務經濟學應用實務/財務經濟學（一）」等課程辦理抵免 |

> 核心課程學分數：12 學分

### 選修課程

| 開課單位 | 課程名稱 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- |
| 跨院選修(工)、應數系、電機系、資工系、機電系、光電系、資管系、後醫學系、海科系 | 計算機程式 | 3 | 得以「工程電腦程式/程式設計/Ｃ程式設計（一）/ Ｃ程式設計（二）」辦理抵免 |
| 跨院選修(理)、跨院選修(海)、應數系、化學系、電機系、機電系、光電系、材光系、海工系 | 微分方程 | 3 | 得以「微分方程(一)/化學數學/ 應用數學 ( 一 )/ 工程數學(一)」辦理抵免 |
| 應數系、海工系、物理系、資工系、光電系 | 數值分析 | 3 | 得以「數值分析（一）/數值方法導論與應用/ 光電數值模擬」 |
| 跨院選修(醫)、跨院選修(文)、文學院、應數系、資工系、人科學程 | 數學統計軟體應用 | 3 | 得以「資料分析與應用-R語言之應用 / R 程式語言入門/Python 程式設計/基礎程式設計應用/基礎程式應用」等課程辦理抵免 |
| 應數系 | 應用統計方法 | 3 | — |
| 應數系 | 統計推論 | 3 | — |
| 應數系 | 統計資料分析 | 3 | — |
| 應數系 | 應用機率模型 | 3 | — |
| 人科學程 | 統計學與資料視覺化 | 3 | — |
| 醫學院 | 生物統計與資訊 | 3 | — |
| 管理學院、社科院、跨院選修(管)、跨院選修(社)、企管系、資管系、財管系、政經系、國際學士學程 | 經濟學 | 3 | (1)若已抵免為核心課程，則不再重複抵免。(2) 得以「經濟學概論/經濟學（一）/經濟學（二）/經濟學原理（一）/經濟學原理（二）」等課程辦理抵免 |
