## 【113 學年度第 1 學期版本】
113.11.12 113 學年度第 1 學期學分學程會議通過
113.12.12 第 182 次教務會議通過

### 核心課程

| 開課單位 | 課程名稱 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- |
| 中文系 | 中國文學史（一） | 3 | 中文系基礎必修課程文學/思想/語言文字三領域擇一修習至少6學分 |
| 中文系 | 中國文學史（二） | 3 | 中文系基礎必修課程文學/思想/語言文字三領域擇一修習至少6學分 |
| 中文系 | 中國思想史（一） | 3 | 中文系基礎必修課程文學/思想/語言文字三領域擇一修習至少6學分 |
| 中文系 | 中國思想史（二） | 3 | 中文系基礎必修課程文學/思想/語言文字三領域擇一修習至少6學分 |
| 中文系 | 語言學概論 | 2 | 中文系基礎必修課程文學/思想/語言文字三領域擇一修習至少6學分 |
| 中文系 | 文字學 | 3 | 中文系基礎必修課程文學/思想/語言文字三領域擇一修習至少6學分 |
| 中文系 | 聲韻學 | 3 | 中文系基礎必修課程文學/思想/語言文字三領域擇一修習至少6學分 |
| 中文系 | 訓詁學 | 2 | 中文系基礎必修課程文學/思想/語言文字三領域擇一修習至少6學分 |
| 西灣學院 | 中文思辨與表達（一） | 3 | 基礎語文課程至少 3 學分 |
| 西灣學院 | 中文思辨與表達（二） | 3 | 基礎語文課程至少 3 學分 |
| 中文系 | 文學閱讀與生命書寫（一） | 3 | 基礎語文課程至少 3 學分 |
| 中文系 | 文學閱讀與生命書寫（二） | 3 | 基礎語文課程至少 3 學分 |
| 中文系 | 青聽文學 | 3 | — |
| 中文系 | 非虛構文學選讀 | 3 | — |

> 核心課程學分數： 9 學分

### 選修課程

| 開課單位 | 課程名稱 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- |
| 中文系 | 詩選及習作（一） | 3 | 古典文化與創意課程至少3學分 |
| 中文系 | 詩選及習作（二） | 3 | 古典文化與創意課程至少3學分 |
| 中文系 | 歷代文選及習作（一） | 3 | 古典文化與創意課程至少3學分 |
| 中文系 | 歷代文選及習作（二） | 3 | 古典文化與創意課程至少3學分 |
| 中文系 | 詞曲選及習作（一） | 3 | 古典文化與創意課程至少3學分 |
| 中文系 | 杜甫詩 | 3 | 古典文化與創意課程至少3學分 |
| 中文系 | 李白詩 | 3 | 古典文化與創意課程至少3學分 |
| 中文系 | 歐蘇文 | 3 | 古典文化與創意課程至少3學分 |
| 中文系 | 紅樓夢 | 3 | 古典文化與創意課程至少3學分 |
| 中文系 | 古典小說選（一） | 3 | 古典文化與創意課程至少3學分 |
| 中文系 | 古典小說選（二） | 3 | 古典文化與創意課程至少3學分 |
| 中文系 | 古典戲劇選（一） | 3 | 古典文化與創意課程至少3學分 |
| 中文系 | 古典戲劇選（二） | 3 | 古典文化與創意課程至少3學分 |
